"Article","Views","Users","ViewsUser","ViewsΔ%"
"authentication/securing-your-account-with-two-factor-authentication-2fa/configuring-two-factor-authentication","3281479","2331802","1.41",""
"authentication/securing-your-account-with-two-factor-authentication-2fa/recovering-your-account-if-you-lose-your-2fa-credentials","2235836","1213861","1.84",""
"authentication/securing-your-account-with-two-factor-authentication-2fa/accessing-github-using-two-factor-authentication","1536065","1103933","1.39",""
"actions/security-guides/automatic-token-authentication","1017770","579606","1.76",""
"authentication/securing-your-account-with-two-factor-authentication-2fa/configuring-two-factor-authentication-recovery-methods","1000582","709529","1.41",""
"actions/security-guides/using-secrets-in-github-actions","910856","559091","1.63",""
"code-security/dependabot/dependabot-version-updates/configuration-options-for-the-dependabot.yml-file","874640","324571","2.69",""
"get-started/learning-about-github/about-github-advanced-security","675450","451916","1.49",""
"authentication/securing-your-account-with-two-factor-authentication-2fa/about-two-factor-authentication","658656","503907","1.31",""
"code-security/dependabot/dependabot-security-updates/configuring-dependabot-security-updates","626314","489808","1.28",""
"authentication/securing-your-account-with-two-factor-authentication-2fa","580813","428773","1.35",""
"actions/security-guides/encrypted-secrets","398976","249480","1.6",""
"actions/security-for-github-actions/security-hardening-your-deployments/configuring-openid-connect-in-google-cloud-platform","376864","293541","1.28",""
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-google-cloud-platform","363840","248828","1.46",""
"pages/getting-started-with-github-pages/securing-your-github-pages-site-with-https","316271","219659","1.44",""
"actions/security-for-github-actions/security-guides/using-secrets-in-github-actions","308116","200583","1.54",""
"actions/deployment/security-hardening-your-deployments/configuring-openid-connect-in-amazon-web-services","285772","126915","2.25",""
"code-security/code-scanning/introduction-to-code-scanning/about-code-scanning","268425","206071","1.3",""
"actions/deployment/security-hardening-your-deployments/about-security-hardening-with-openid-connect","263050","121889","2.16",""
"actions/security-guides/security-hardening-for-github-actions","250981","156037","1.61",""
"code-security/supply-chain-security/understanding-your-software-supply-chain/about-the-dependency-graph","238878","182624","1.31",""
"code-security","232122","167958","1.38",""
"authentication/securing-your-account-with-two-factor-authentication-2fa/countries-where-sms-authentication-is-supported","230042","195423","1.18",""
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/reviewing-the-audit-log-for-your-organization","216262","136133","1.59",""
"actions/security-for-github-actions/security-guides/automatic-token-authentication","215599","137945","1.56",""
"code-security/dependabot/dependabot-security-updates/about-dependabot-security-updates","207392","156964","1.32",""
"code-security/secret-scanning/about-secret-scanning","204568","142293","1.44",""
"code-security/dependabot/dependabot-version-updates/configuring-dependabot-version-updates","200970","125606","1.6",""
"code-security/dependabot/dependabot-alerts/about-dependabot-alerts","190549","139766","1.36",""
"code-security/secret-scanning/secret-scanning-patterns","183154","120264","1.52",""
"code-security/getting-started/github-security-features","159705","120360","1.33",""
"code-security/dependabot","152645","114959","1.33",""
"code-security/code-scanning/introduction-to-code-scanning/about-code-scanning-with-codeql","152082","106319","1.43",""
"code-security/dependabot/working-with-dependabot/automating-dependabot-with-github-actions","151717","88777","1.71",""
"authentication/securing-your-account-with-two-factor-authentication-2fa/disabling-two-factor-authentication-for-your-personal-account","144764","116151","1.25",""
"code-security/getting-started/dependabot-quickstart-guide","144382","107480","1.34",""
"code-security/code-scanning/enabling-code-scanning/configuring-default-setup-for-code-scanning","134289","92572","1.45",""
"code-security/code-scanning","130785","105129","1.24",""
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/managing-allowed-ip-addresses-for-your-organization","130075","89593","1.45",""
"code-security/dependabot/dependabot-version-updates/about-dependabot-version-updates","121136","81173","1.49",""
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/restricting-email-notifications-for-your-organization","115077","93131","1.24",""
"code-security/code-scanning/creating-an-advanced-setup-for-code-scanning/customizing-your-advanced-setup-for-code-scanning","113558","60185","1.89",""
"code-security/dependabot/working-with-dependabot/managing-pull-requests-for-dependency-updates","110851","75493","1.47",""
"code-security/dependabot/working-with-dependabot/troubleshooting-dependabot-errors","106011","68662","1.54",""
"code-security/secret-scanning","103383","85982","1.2",""
"billing/managing-billing-for-github-advanced-security/about-billing-for-github-advanced-security","103277","61763","1.67",""
"code-security/getting-started/best-practices-for-preventing-data-leaks-in-your-organization","101272","78234","1.29",""
"code-security/secret-scanning/pushing-a-branch-blocked-by-push-protection","100296","66318","1.51",""
"code-security/getting-started/adding-a-security-policy-to-your-repository","95511","74239","1.29",""
"code-security/dependabot/working-with-dependabot","93318","63672","1.47",""
"code-security/dependabot/working-with-dependabot/configuring-access-to-private-registries-for-dependabot","90056","49685","1.81",""
"code-security/supply-chain-security/understanding-your-software-supply-chain/about-supply-chain-security","88146","69768","1.26",""
"repositories/managing-your-repositorys-settings-and-features/enabling-features-for-your-repository/managing-security-and-analysis-settings-for-your-repository","85404","64119","1.33",""
"authentication/keeping-your-account-and-data-secure/reviewing-your-security-log","84966","64607","1.32",""
"code-security/supply-chain-security/understanding-your-software-supply-chain/exploring-the-dependencies-of-a-repository","81729","64606","1.27",""
"code-security/code-scanning/integrating-with-code-scanning/sarif-support-for-code-scanning","81271","50567","1.61",""
"code-security/supply-chain-security/understanding-your-software-supply-chain/about-dependency-review","75273","55149","1.36",""
"code-security/supply-chain-security","74827","60530","1.24",""
"code-security/code-scanning/automatically-scanning-your-code-for-vulnerabilities-and-errors/about-code-scanning","73722","49482","1.49",""
"site-policy/security-policies/github-bug-bounty-program-legal-safe-harbor","73589","57804","1.27",""
"code-security/security-overview/about-security-overview","73434","55802","1.32",""
"organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/managing-security-and-analysis-settings-for-your-organization","72499","48002","1.51",""
"authentication/securing-your-account-with-two-factor-authentication-2fa/changing-your-two-factor-authentication-method","69699","58549","1.19",""
"code-security/codeql-cli/getting-started-with-the-codeql-cli/preparing-your-code-for-codeql-analysis","68766","32946","2.09",""
"code-security/codeql-cli/getting-started-with-the-codeql-cli/setting-up-the-codeql-cli","67754","35505","1.91",""
