user_id,timestamp,href,product,feature,form_submit_flag,contact_sales_flag,get_started_flag,copilot_docs_flag,docs_flag,copilot_usage_flag,session_id
198283868,2025-02-07 23:49:43.916+00:00,,Dashboard,Index,,,,,,,1
198283868,2025-02-07 23:49:44.523+00:00,,Dashboard,View Recent Activity,,,,,,,1
198283868,2025-02-07 23:49:44.527+00:00,,Dashboard,View Recent Activity,,,,,,,1
198283868,2025-02-07 23:49:44.559+00:00,,Dashboard,View Top Repositories,,,,,,,1
198283868,2025-02-07 23:49:44.586+00:00,,Dashboard,View Top Repositories,,,,,,,1
198283868,2025-02-07 23:50:07.000+00:00,https://docs.github.com/zh/copilot/quickstart,,,,,,1,1,,1
198283754,2025-02-07 00:00:00.000+00:00,,Copilot Dotcom Chat,Conversation,,,,,,1,1
198283754,2025-02-07 23:47:28.733+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:28.733+00:00,,Copilot Dotcom Chat,Conversation,,,,,,1,2
198283754,2025-02-07 23:47:35.910+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:36.524+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:36.527+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:36.679+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:36.684+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:36.714+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:36.742+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:47:36.744+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:49:14.599+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.000+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.639+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.640+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.886+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.890+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.894+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.933+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:17.960+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:21.268+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
198283754,2025-02-07 23:51:21.801+00:00,,Repository Code,Unspecified Engagement,,,,,,,2
